id,client,chatbot,biais_detecte,nb_biais,suggestion
1,Je veux annuler ma commande.,Vous pouvez annuler depuis votre espace client.,{},0,[]
2,Je n’ai pas reçu l’email de confirmation.,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
3,"Bonjour, j’ai un problème avec ma commande.","Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
4,Le code promo ne fonctionne pas.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[]
5,Est-ce que vous livrez dans mon pays ?,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
6,Comment retourner un produit ?,"Bien sûr, vous pouvez retourner l’article depuis votre compte.",{},0,[]
7,Je n’ai pas reçu l’email de confirmation.,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,[]
8,Je n’arrive pas à payer sur votre site.,Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
9,Est-ce que vous livrez dans mon pays ?,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
10,Je n’ai pas reçu l’email de confirmation.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
11,Le code promo ne fonctionne pas.,Veuillez vérifier que le code est correct et toujours valide.,{'generalisation': ['toujours']},1,[]
12,J’ai reçu un article endommagé.,"Nous sommes désolés, vous pouvez demander un retour depuis votre compte.",{},0,[]
13,Je n’ai pas reçu l’email de confirmation.,"Vérifiez vos spams, sinon contactez notre support.",{'manque_politesse': ['vérifiez']},1,[]
14,Comment retourner un produit ?,Vous pouvez créer une demande de retour depuis votre compte.,{},0,[]
15,Le code promo ne fonctionne pas.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[]
16,Est-ce que vous livrez dans mon pays ?,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
17,Mon colis est en retard.,"Je peux vérifier le suivi, quel est votre numéro de commande ?",{},0,[]
18,Le code promo ne fonctionne pas.,Veuillez vérifier que le code est encore valide et correctement saisi.,{},0,[]
19,Est-ce que vous livrez dans mon pays ?,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
20,Mon colis est en retard.,Vous pouvez vérifier le suivi depuis votre compte.,{},0,[]
21,Je n’ai pas reçu l’email de confirmation.,"Vérifiez vos spams, sinon contactez notre support.",{'manque_politesse': ['vérifiez']},1,[]
22,Est-ce que vous livrez dans mon pays ?,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
23,Est-ce que vous livrez dans mon pays ?,"Oui, vous pouvez créer un retour depuis votre compte si nécessaire.",{},0,[]
24,Mon colis est en retard.,"Nous sommes désolés, je peux vérifier le suivi pour vous.",{},0,[]
25,Comment retourner un produit ?,"Bien sûr, vous pouvez retourner l’article depuis votre compte.",{},0,[]
26,"Bonjour, j’ai un problème avec ma commande.","Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
27,Je n’ai pas reçu l’email de confirmation.,"Vérifiez vos spams, sinon contactez notre support.",{'manque_politesse': ['vérifiez']},1,[]
28,Est-ce que vous livrez dans mon pays ?,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
29,Je veux annuler ma commande.,Vous pouvez annuler depuis votre espace client.,{},0,[]
30,"Bonjour, j’ai un problème avec ma commande.","Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
31,Je veux annuler ma commande.,Vous pouvez annuler depuis votre espace client.,{},0,[]
32,Mon colis est en retard.,"Je peux vérifier le suivi, quel est votre numéro de commande ?",{},0,[]
33,Est-ce que vous livrez dans mon pays ?,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
34,Je n’ai pas reçu l’email de confirmation.,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
35,Je n’ai pas reçu l’email de confirmation.,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,[]
36,"Bonjour, j’ai un problème avec ma commande.","Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
37,Mon colis est en retard.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
38,Je n’ai pas reçu l’email de confirmation.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
39,Le code promo ne fonctionne pas.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[]
40,Comment retourner un produit ?,"Bien sûr, vous pouvez retourner l’article depuis votre compte.",{},0,[]
41,Le code promo ne fonctionne pas.,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
42,Je n’arrive pas à payer sur votre site.,Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
43,Je n’arrive pas à payer sur votre site.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[]
44,"Bonjour, j’ai un problème avec ma commande.","Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
45,Est-ce que vous livrez dans mon pays ?,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
46,Est-ce que vous livrez dans mon pays ?,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
47,Comment retourner un produit ?,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
48,Comment retourner un produit ?,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[]
49,"Bonjour, j’ai un problème avec ma commande.","Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
50,Le code promo ne fonctionne pas.,Vous pouvez annuler depuis votre espace client.,{},0,[]
51,Le code promo ne fonctionne pas.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
52,Je veux annuler ma commande.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
53,Le code promo ne fonctionne pas.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
54,"Bonjour, j’ai un problème avec ma commande.","Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
55,"Bonjour, j’ai un problème avec ma commande.",Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
56,Est-ce que vous livrez dans mon pays ?,Vous pouvez annuler depuis votre espace client.,{},0,[]
57,Comment retourner un produit ?,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
58,Est-ce que vous livrez dans mon pays ?,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,[]
59,Je n’arrive pas à payer sur votre site.,Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
60,Je veux changer mon adresse de livraison.,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[]
61,Je n’ai pas reçu l’email de confirmation.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
62,Je n’arrive pas à payer sur votre site.,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[]
63,Mon colis est en retard.,"Bien sûr, vous pouvez retourner l’article depuis votre compte.",{},0,[]
64,Je veux changer mon adresse de livraison.,Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
65,Je n’ai pas reçu l’email de confirmation.,Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
66,J’ai reçu un article endommagé.,Vous pouvez annuler depuis votre espace client.,{},0,[]
67,Comment retourner un produit ?,"Je suis navré, je vérifie le statut immédiatement.",{},0,[]
68,"Bonjour, j’ai un problème avec ma commande.","Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
69,"Bonjour, j’ai un problème avec ma commande.","Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
70,Je n’arrive pas à payer sur votre site.,Vous pouvez annuler depuis votre espace client.,{},0,[]
71,"Bonjour, j’ai un problème avec ma commande.","Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
72,Comment retourner un produit ?,"Je suis navré, je vérifie le statut immédiatement.",{},0,[]
73,"Bonjour, j’ai un problème avec ma commande.",Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
74,Est-ce que vous livrez dans mon pays ?,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
75,Mon colis est en retard.,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,[]
76,Je veux annuler ma commande.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[]
77,Je veux changer mon adresse de livraison.,Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
78,J’ai reçu un article endommagé.,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
79,Mon colis est en retard.,Vous pouvez annuler depuis votre espace client.,{},0,[]
80,Est-ce que vous livrez dans mon pays ?,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[]
81,"Bonjour, j’ai un problème avec ma commande.","Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
82,Je veux changer mon adresse de livraison.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
83,Mon colis est en retard.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[]
84,Comment retourner un produit ?,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
85,Je n’arrive pas à payer sur votre site.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
86,Comment retourner un produit ?,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
87,Le code promo ne fonctionne pas.,Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
88,Mon colis est en retard.,Vous pouvez annuler depuis votre espace client.,{},0,[]
89,Est-ce que vous livrez dans mon pays ?,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
90,Est-ce que vous livrez dans mon pays ?,Vous pouvez annuler depuis votre espace client.,{},0,[]
91,Le code promo ne fonctionne pas.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[]
92,"Bonjour, j’ai un problème avec ma commande.","Je suis navré, je vérifie le statut immédiatement.",{},0,[]
93,Je n’arrive pas à payer sur votre site.,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
94,Je n’arrive pas à payer sur votre site.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
95,J’ai reçu un article endommagé.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
96,"Bonjour, j’ai un problème avec ma commande.","Bien sûr, vous pouvez retourner l’article depuis votre compte.",{},0,[]
97,Est-ce que vous livrez dans mon pays ?,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
98,J’ai reçu un article endommagé.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
99,"Bonjour, j’ai un problème avec ma commande.",Vous pouvez annuler depuis votre espace client.,{},0,[]
100,Mon colis est en retard.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
101,Je veux annuler ma commande.,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[]
102,Je veux changer mon adresse de livraison.,Vous pouvez annuler depuis votre espace client.,{},0,[]
103,J’ai reçu un article endommagé.,"Bien sûr, vous pouvez retourner l’article depuis votre compte.",{},0,[]
104,Je veux changer mon adresse de livraison.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
105,Je n’ai pas reçu l’email de confirmation.,Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
106,Je veux changer mon adresse de livraison.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
107,Je veux changer mon adresse de livraison.,Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
108,Je veux changer mon adresse de livraison.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
109,Est-ce que vous livrez dans mon pays ?,"Bien sûr, vous pouvez retourner l’article depuis votre compte.",{},0,[]
110,"Bonjour, j’ai un problème avec ma commande.",Vous pouvez annuler depuis votre espace client.,{},0,[]
111,Je veux changer mon adresse de livraison.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
112,"Bonjour, j’ai un problème avec ma commande.","Je suis navré, je vérifie le statut immédiatement.",{},0,[]
113,Je veux annuler ma commande.,Vous pouvez annuler depuis votre espace client.,{},0,[]
114,Je veux annuler ma commande.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
115,Je n’arrive pas à payer sur votre site.,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[]
116,Je n’arrive pas à payer sur votre site.,Vous pouvez annuler depuis votre espace client.,{},0,[]
117,J’ai reçu un article endommagé.,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,[]
118,Je veux annuler ma commande.,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[]
119,"Bonjour, j’ai un problème avec ma commande.","Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
120,Le code promo ne fonctionne pas.,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,[]
121,Je n’arrive pas à payer sur votre site.,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[]
122,Le code promo ne fonctionne pas.,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,[]
123,Je veux annuler ma commande.,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[]
124,Est-ce que vous livrez dans mon pays ?,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
125,Est-ce que vous livrez dans mon pays ?,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
126,"Bonjour, j’ai un problème avec ma commande.","Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
127,Je veux annuler ma commande.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
128,Est-ce que vous livrez dans mon pays ?,Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
129,Je veux changer mon adresse de livraison.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
130,"Bonjour, j’ai un problème avec ma commande.",Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
131,Est-ce que vous livrez dans mon pays ?,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,[]
132,Je n’ai pas reçu l’email de confirmation.,Vérifiez la validité de votre carte ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,[]
133,Comment retourner un produit ?,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
134,Est-ce que vous livrez dans mon pays ?,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,[]
135,Je n’arrive pas à payer sur votre site.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[]
136,Je veux annuler ma commande.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[]
137,Je n’ai pas reçu l’email de confirmation.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
138,Je veux changer mon adresse de livraison.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[]
139,Le code promo ne fonctionne pas.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
140,Mon colis est en retard.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[]
