client,chatbot,biais_detecte,nb_biais,suggestion,chatbot_reforme
"Bonjour, j’ai un problème avec ma commande.","Vérifiez ,contactez votre banque la validité du code ou sa date d’expiration.","{'manque_politesse': ['vérifiez', 'contactez votre banque']}",2,"[""'vérifiez' → 'pourriez-vous vérifier'"", ""'contactez votre banque' → 'nous vous suggérons de contacter votre banque'""]","pourriez-vous vérifier ,nous vous suggérons de contacter votre banque la validité du code ou sa date d’expiration."
Je n’arrive pas à payer sur votre site.,Vérifiez la validité du code ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,"[""'vérifiez' → 'pourriez-vous vérifier'""]",pourriez-vous vérifier la validité du code ou sa date d’expiration.
Je n’ai pas reçu l’email de confirmation.,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,"[""'contactez votre banque' → 'nous vous suggérons de contacter votre banque'""]",Essayez un autre moyen de paiement ou nous vous suggérons de contacter votre banque.
Comment retourner un produit ?,Vérifiez la validité du code ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,"[""'vérifiez' → 'pourriez-vous vérifier'""]",pourriez-vous vérifier la validité du code ou sa date d’expiration.
Je n’ai pas reçu l’email de confirmation.,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,"[""'contactez votre banque' → 'nous vous suggérons de contacter votre banque'""]",Essayez un autre moyen de paiement ou nous vous suggérons de contacter votre banque.
Comment retourner un produit ?,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,"[""'contactez votre banque' → 'nous vous suggérons de contacter votre banque'""]",Essayez un autre moyen de paiement ou nous vous suggérons de contacter votre banque.
Est-ce que vous livrez dans mon pays ?,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,"[""'vérifiez' → 'pourriez-vous vérifier'""]","pourriez-vous vérifier vos spams, sinon envoyez-moi votre adresse email."
Est-ce que vous livrez dans mon pays ?,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,"[""'contactez votre banque' → 'nous vous suggérons de contacter votre banque'""]",Essayez un autre moyen de paiement ou nous vous suggérons de contacter votre banque.
Est-ce que vous livrez dans mon pays ?,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,"[""'contactez votre banque' → 'nous vous suggérons de contacter votre banque'""]",Essayez un autre moyen de paiement ou nous vous suggérons de contacter votre banque.
Je n’arrive pas à payer sur votre site.,Vérifiez la validité du code ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,"[""'vérifiez' → 'pourriez-vous vérifier'""]",pourriez-vous vérifier la validité du code ou sa date d’expiration.
